Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Wettercodekategorie
2012-01-01,8,9.825,14,58,6
2012-01-02,7,74.375,12,,
2012-01-03,8,55.375,18,63,7
2012-01-04,4,56.875,19,80,9
2012-01-05,6,05. Mar,23,80,9
2012-01-06,3,2.625,10,,
2012-01-07,7,6.528.571,14,61,7
2012-01-08,7,59.625,10,80,9
2012-01-09,8,May 15,12,61,7
2012-01-10,6,61.125,10,,
2012-01-11,6,78.625,16,51,6
2012-01-12,7,74.375,25,61,7
2012-01-13,2,04. Aug,18,,
2012-01-14,3,28.875,10,,
2012-01-15,1,2.225,6,,
2012-01-16,8,30.625,6,61,7
2012-01-17,6,44.875,10,,
2012-01-18,7,Feb 35,12,51,6
2012-01-19,8,52.625,16,80,9
2012-01-20,6,34.375,12,26,3
2012-01-21,7,35.375,16,68,7
2012-01-22,6,37.875,12,21,3
2012-01-23,5,22.125,4,10,2
2012-01-24,3,17.625,6,,
2012-01-25,3,-0.1875,8,,
2012-01-26,2,0.3625,12,,
2012-01-27,8,-1,10,71,8
2012-01-28,6,-13.875,10,10,2
2012-01-29,7,-31.625,8,71,8
2012-01-30,3,-2.275,12,,
2012-01-31,1,-2.375,18,,
2012-02-01,7,-1.825,16,71,8
2012-02-02,6,-5.85,8,85,9
2012-02-03,4,-5.85,14,3,1
2012-02-04,4,-75.375,10,71,8
2012-02-05,5,-77.125,8,,
2012-02-06,4,-10.25,6,10,2
2012-02-07,6,-3,18,71,8
2012-02-08,6,-27.625,10,,
2012-02-09,6,-16.625,21,3,1
2012-02-10,6,-28.125,8,71,8
2012-02-11,7,-4.575,8,78,8
2012-02-12,8,-12.375,16,72,8
2012-02-13,6,-2.325,8,10,2
2012-02-14,8,01. Mar,10,47,5
2012-02-15,1,48.625,18,,
2012-02-16,7,29.625,10,61,7
2012-02-17,5,55.625,14,,
2012-02-18,8,6.175,14,61,7
2012-02-19,4,04. Feb,18,25,3
2012-02-20,5,41.125,14,,
2012-02-21,8,Apr 95,14,58,6
2012-02-22,7,7.175,18,51,6
2012-02-23,6,84.125,18,,
2012-02-24,7,Aug 35,19,20,3
2012-02-25,6,6.525,19,61,7
2012-02-26,1,4.675,8,,
2012-02-27,8,3.725,12,61,7
2012-02-28,8,7.675,14,51,6
2012-02-29,8,7.775,10,47,5
2012-03-01,6,7.625,12,43,5
2012-03-02,7,59.125,6,28,3
2012-03-03,5,70.375,14,,
2012-03-04,7,4.675,8,,
2012-03-05,7,4.875,10,,
2012-03-06,4,45.125,10,,
2012-03-07,7,04. May,10,61,7
2012-03-08,2,75.125,14,,
2012-03-09,8,7.825,14,10,2
2012-03-10,6,08. Jul,19,10,2
2012-03-11,6,Aug 95,14,,
2012-03-12,5,90.125,18,,
2012-03-13,6,Sep 95,16,1,1
2012-03-14,7,77.875,10,,
2012-03-15,6,07. Apr,8,,
2012-03-16,3,120.375,14,10,2
2012-03-17,6,9.775,14,10,2
2012-03-18,7,98.375,16,61,7
2012-03-19,4,81.125,18,,
2012-03-20,7,80.875,18,51,6
2012-03-21,5,12.625,16,,
2012-03-22,0,127.625,6,2,1
2012-03-23,0,134.875,6,,
2012-03-24,5,78.375,8,10,2
2012-03-25,0,131.375,10,1,1
2012-03-26,7,84.875,8,51,6
2012-03-27,4,15. May,10,,
2012-03-28,3,148.375,18,5,1
2012-03-29,6,89.875,19,21,3
2012-03-30,3,99.625,18,1,1
2012-03-31,4,61.125,19,61,7
2012-04-01,7,6.525,19,25,3
2012-04-02,7,55.875,16,,
2012-04-03,7,03. Mar,10,22,3
2012-04-04,7,45.875,18,21,3
2012-04-05,1,56.375,10,,
2012-04-06,7,06. Feb,18,61,7
2012-04-07,4,37.125,19,,
2012-04-08,2,May 75,10,,
2012-04-09,8,65.125,10,58,6
2012-04-10,8,105.875,10,61,7
2012-04-11,7,10.475,12,,
2012-04-12,6,9.575,12,81,9
2012-04-13,7,8.725,10,,
2012-04-14,6,88.125,8,25,3
2012-04-15,7,8.075,10,21,3
2012-04-16,4,07. May,16,80,9
2012-04-17,5,80.375,12,,
2012-04-18,6,96.125,10,,
2012-04-19,2,142.375,14,,
2012-04-20,6,9.225,10,95,10
2012-04-21,6,12. Feb,10,91,10
2012-04-22,6,99.875,10,80,9
2012-04-23,6,Sep 95,10,81,9
2012-04-24,7,10,8,61,7
2012-04-25,6,116.375,12,,
2012-04-26,6,141.875,14,60,7
2012-04-27,5,14.925,12,25,3
2012-04-28,6,95.125,18,61,7
2012-04-29,7,114.625,23,,
2012-04-30,3,162.375,8,,
2012-05-01,5,134.125,19,,
2012-05-02,1,13.45,12,,
2012-05-03,6,16. Jun,8,,
2012-05-04,7,Dec 65,10,80,9
2012-05-05,2,10. May,8,,
2012-05-06,5,08. Jun,8,,
2012-05-07,7,7.575,6,61,7
2012-05-08,6,16.075,8,,
2012-05-09,6,16.85,10,81,9
2012-05-10,7,17.85,12,61,7
2012-05-11,5,16.525,19,,
2012-05-12,5,93.875,23,80,9
2012-05-13,6,110.125,10,,
2012-05-14,6,14.525,12,,
2012-05-15,7,Nov 45,10,,
2012-05-16,6,88.875,19,80,9
2012-05-17,4,108.125,18,3,1
2012-05-18,6,162.125,10,,
2012-05-19,5,177.625,6,,
2012-05-20,6,18.475,10,,
2012-05-21,5,18.514.285,14,,
2012-05-22,4,19. Feb,12,,
2012-05-23,4,182.375,14,,
2012-05-24,0,188.625,12,,
2012-05-25,0,19.85,10,,
2012-05-26,4,21.45,8,,
2012-05-27,1,19.875,10,,
2012-05-28,2,228.375,14,,
2012-05-29,4,15.35,12,,
2012-05-30,6,129.375,14,,
2012-05-31,7,132.625,10,61,7
2012-06-01,4,128.875,19,25,3
2012-06-02,4,124.625,16,25,3
2012-06-03,7,Dec 35,12,,
2012-06-04,7,132.125,14,,
2012-06-05,5,132.125,16,25,3
2012-06-06,7,138.375,10,61,7
2012-06-07,7,151.875,10,51,6
2012-06-08,4,193.375,12,95,10
2012-06-09,6,14. Jun,14,61,7
2012-06-10,6,15,16,51,6
2012-06-11,3,16.525,8,,
2012-06-12,7,141.125,6,63,7
2012-06-13,4,151.625,12,,
2012-06-14,6,14. May,12,,
2012-06-15,7,183.125,8,63,7
2012-06-16,6,184.625,10,25,3
2012-06-17,6,169.625,14,25,3
2012-06-18,6,195.875,19,95,10
2012-06-19,6,173.125,6,,
2012-06-20,6,17.65,12,,
2012-06-21,4,185.125,16,,
2012-06-22,4,18.325,14,29,3
2012-06-23,6,168.875,12,80,9
2012-06-24,8,12.875,12,63,7
2012-06-25,6,138.875,18,80,9
2012-06-26,6,14. Mar,18,20,3
2012-06-27,8,145.625,10,,
2012-06-28,6,182.625,8,,
2012-06-29,6,22.75,8,95,10
2012-06-30,5,231.375,10,,
2012-07-01,4,195.125,14,,
2012-07-02,6,194.375,10,,
2012-07-03,3,205.375,12,,
2012-07-04,5,19.95,12,,
2012-07-05,7,172.625,12,10,2
2012-07-06,7,185.375,10,60,7
2012-07-07,7,207.875,4,,
2012-07-08,5,22.975,10,95,10
2012-07-09,7,16. May,16,61,7
2012-07-10,6,18.825,14,1,1
2012-07-11,6,17.15,14,29,3
2012-07-12,5,154.875,14,81,9
2012-07-13,6,170.875,6,21,3
2012-07-14,6,179.125,19,25,3
2012-07-15,5,16.375,16,25,3
2012-07-16,5,16.875,16,80,9
2012-07-17,5,171.375,18,80,9
2012-07-18,7,16.95,6,63,7
2012-07-19,7,158.125,16,81,9
2012-07-20,6,15.25,16,80,9
2012-07-21,6,161.625,16,,
2012-07-22,4,18.325,12,,
2012-07-23,2,22.483.333,12,,
2012-07-25,1,25.65,8,,
2012-07-26,1,225.875,8,,
2012-07-27,1,26.075,10,,
2012-07-28,7,18.95,14,63,7
2012-07-29,7,160.375,8,61,7
2012-07-30,6,151.875,10,95,10
2012-07-31,5,171.625,12,,
2012-08-01,6,210.625,6,,
2012-08-02,6,22.725,10,29,3
2012-08-03,4,206.875,10,91,10
2012-08-04,6,18.225,6,61,7
2012-08-05,6,216.125,4,,
2012-08-06,5,19.575,16,80,9
2012-08-07,6,173.125,14,80,9
2012-08-08,4,17. Sep,16,80,9
2012-08-09,5,18.35,12,,
2012-08-10,6,17. Mar,14,25,3
2012-08-11,2,18.85,10,,
2012-08-12,1,197.875,12,,
2012-08-13,2,200.375,14,,
2012-08-14,2,201.625,12,,
2012-08-15,1,20. Apr,14,,
2012-08-16,6,17.325,10,63,7
2012-08-17,5,219.375,8,,
2012-08-18,6,27.525,8,,
2012-08-19,2,26.875,8,,
2012-08-20,3,26.15,16,,
2012-08-21,6,208.125,6,,
2012-08-22,4,200.125,18,,
2012-08-23,5,198.375,18,80,9
2012-08-24,7,162.625,4,61,7
2012-08-25,6,188.625,8,80,9
2012-08-26,6,17.325,14,95,10
2012-08-27,2,178.625,12,,
2012-08-28,7,195.875,8,61,7
2012-08-29,4,206.625,8,3,1
2012-08-30,7,192.375,6,,
2012-08-31,3,172.875,14,,
2012-09-01,6,16. Jun,12,,
2012-09-02,6,19.15,14,,
2012-09-03,4,19.475,12,,
2012-09-04,4,205.375,14,,
2012-09-05,6,171.375,14,80,9
2012-09-06,7,161.125,14,,
2012-09-07,7,16.125,12,58,6
2012-09-08,5,184.625,16,51,6
2012-09-09,4,21.075,6,,
2012-09-10,4,23.125,12,,
2012-09-11,7,170.875,12,61,7
2012-09-12,4,139.625,12,80,9
2012-09-13,3,15. Jan,8,,
2012-09-14,8,137.125,16,61,7
2012-09-15,6,15.625,18,80,9
2012-09-16,3,18.35,12,,
2012-09-17,4,174.375,14,25,3
2012-09-18,6,150.375,14,80,9
2012-09-19,5,106.375,16,81,9
2012-09-20,6,114.875,12,80,9
2012-09-21,7,14.25,14,21,3
2012-09-22,5,11. May,14,25,3
2012-09-23,4,13.65,10,,
2012-09-24,8,104.125,16,61,7
2012-09-25,7,14.925,10,80,9
2012-09-26,7,125.625,6,61,7
2012-09-27,7,13. Feb,10,61,7
2012-09-28,6,135.625,12,,
2012-09-29,5,132.625,16,25,3
2012-09-30,4,13.875,14,25,3
2012-10-01,7,138.625,10,,
2012-10-02,6,151.625,10,10,2
2012-10-03,7,14.175,12,65,7
2012-10-04,7,Oct 45,10,80,9
2012-10-05,7,97.375,14,61,7
2012-10-08,4,124.375,12,80,9
2012-10-09,1,109.875,19,80,9
2012-10-10,5,10. Jan,12,80,9
2012-10-11,4,114.375,6,,
2012-10-12,6,101.375,10,61,7
2012-10-15,6,95.875,10,51,6
2012-10-16,7,108.875,12,61,7
2012-10-17,7,12. Jan,12,21,3
2012-10-18,6,16.775,8,,
2012-10-19,3,19.35,6,,
2012-10-22,8,12.675,8,10,2
2012-10-23,8,118.875,8,51,6
2012-10-24,8,109.875,6,51,6
2012-10-25,6,87.375,16,80,9
2012-10-26,5,51.875,8,,
2012-10-29,8,3.625,14,61,7
2012-10-30,4,70.625,8,25,3
2012-10-31,6,Jul 95,10,10,2
2012-11-01,7,58.125,10,,
2012-11-02,7,7.475,12,21,3
2012-11-05,7,65.875,10,61,7
2012-11-06,6,Jul 45,14,80,9
2012-11-07,7,10. Mar,16,51,6
2012-11-08,7,96.625,16,80,9
2012-11-09,7,09. May,8,20,3
2012-11-12,6,73.125,12,80,9
2012-11-13,7,07. Feb,8,10,2
2012-11-14,8,96.625,6,10,2
2012-11-15,7,87.125,6,5,1
2012-11-16,7,-0.275,6,10,2
2012-11-19,3,6.125,8,3,1
2012-11-20,6,7.675,8,10,2
2012-11-21,8,61.875,12,10,2
2012-11-22,4,09. Jan,14,3,1
2012-11-23,7,06. Jul,10,61,7
2012-11-26,6,81.625,10,,
2012-11-27,7,7.625,8,20,3
2012-11-28,8,5.325,8,51,6
2012-11-29,7,34.625,14,61,7
2012-11-30,2,0.725,10,,
2012-12-03,8,1.033.333,8,10,2
2012-12-04,7,1.375,8,69,7
2012-12-05,2,-47.875,10,,
2012-12-06,1,-4.45,8,,
2012-12-07,4,-17.875,8,10,2
2012-12-10,8,0.1875,18,71,8
2012-12-11,6,-18.625,14,,
2012-12-12,3,-57.375,4,10,2
2012-12-13,7,-20.625,4,78,8
2012-12-14,7,-26.875,10,10,2
2012-12-17,8,41.875,4,47,5
2012-12-18,8,36.375,10,61,7
2012-12-19,7,28.625,6,20,3
2012-12-20,7,20.875,12,5,1
2012-12-21,7,-0.2125,10,13,2
2013-04-30,3,11.116.666,15,0,1
2013-05-01,0,09. Sep,11,,
2013-05-02,1,110.375,12,,
2013-05-03,0,129.125,9,,
2013-05-04,0,17.95,18,,
2013-05-05,3,162.125,10,,
2013-05-06,0,15.675,8,,
2013-05-07,1,174.125,10,21,3
2013-05-08,4,188.125,9,21,3
2013-05-09,7,16.125,11,21,3
2013-05-10,5,15. May,12,21,3
2013-05-11,7,154.125,11,,
2013-05-12,7,117.125,12,61,7
2013-05-13,7,114.375,10,65,7
2013-05-14,5,12. Jun,10,21,3
2013-05-15,4,205.375,10,61,7
2013-05-16,0,161.625,13,5,1
2013-05-17,0,213.125,11,5,1
2013-05-18,7,13.85,12,10,2
2013-05-19,8,13. May,5,20,3
2013-05-20,7,15.775,8,21,3
2013-05-21,7,12.525,9,65,7
2013-05-22,7,90.625,23,63,7
2013-05-23,5,10.525,8,61,7
2013-05-24,5,12. May,8,61,7
2013-05-25,7,113.375,11,63,7
2013-05-26,7,141.625,15,63,7
2013-05-27,6,147.875,10,,
2013-05-28,6,15. Apr,10,20,3
2013-05-29,7,136.625,14,61,7
2013-05-30,4,16.125,11,21,3
2013-05-31,3,17.65,12,,
2013-06-01,3,203.875,10,21,3
2013-06-02,2,14.975,18,,
2013-06-03,0,17.35,13,,
2013-06-04,3,171.625,15,,
2013-06-05,4,190.875,9,,
2013-06-06,0,20.85,12,,
2013-06-07,0,19. Jul,8,,
2013-06-08,1,169.625,9,,
2013-06-09,4,158.875,7,,
2013-06-10,2,17.725,8,0,1
2013-06-11,2,166.625,9,,
2013-06-12,5,22.35,7,,
2013-06-14,2,167.125,16,0,1
2013-06-15,6,170.875,27,61,7
2013-06-16,7,155.875,16,21,3
2013-06-17,0,17. Sep,8,,
2013-06-18,1,20. May,10,0,1
2013-06-19,6,235.375,10,63,7
2013-06-20,2,218.375,10,,
2013-06-21,7,19.575,14,63,7
2013-06-22,6,197.375,10,,
2013-06-23,6,175.375,10,21,3
2013-06-24,7,15.95,12,63,7
2013-06-25,7,15.175,10,21,3
2013-06-26,7,13.825,18,61,7
2013-06-27,7,Dec 55,10,61,7
2013-06-28,7,13. May,10,61,7
2013-06-29,6,148.375,16,61,7
2013-06-30,7,140.125,15,63,7
2013-07-01,6,178.375,15,20,3
2013-07-02,3,173.125,10,,
2013-07-03,7,21.075,6,61,7
2013-07-04,7,18.85,7,20,3
2013-07-05,5,19.975,12,,
2013-07-06,0,189.625,8,,
2013-07-07,0,21.375,9,,
2013-07-08,0,22.725,10,5,1
2013-07-09,0,23.275,8,,
2013-07-10,2,196.875,13,5,1
2013-07-11,0,21.375,12,5,1
2013-07-12,0,202.875,7,,
2013-07-13,1,20.125,12,,
2013-07-14,5,176.875,15,5,1
2013-07-15,6,187.375,12,,
2013-07-16,1,211.875,10,,
2013-07-17,5,225.125,8,,
2013-07-18,1,23.25,11,5,1
2013-07-19,3,22.475,16,5,1
2013-07-20,0,231.875,8,,
2013-07-21,0,26.375,8,,
2013-07-22,0,26. Jan,9,,
2013-07-23,0,24.95,12,,
2013-07-24,3,24.075,11,,
2013-07-25,2,230.875,9,,
2013-07-26,3,272.625,6,,
2013-07-27,1,261.625,10,,
2013-07-28,4,248.875,13,61,7
2013-07-29,1,227.875,10,,
2013-07-30,5,21.075,13,21,3
2013-07-31,5,20.275,16,65,7
2013-08-01,6,23. Apr,7,21,3
2013-08-02,0,314.375,7,,
2013-08-03,4,233.625,11,63,7
2013-08-04,3,23. May,8,,
2013-08-05,0,25. Aug,10,,
2013-08-06,5,22.225,13,,
2013-08-07,4,192.125,8,,
2013-08-08,7,16.975,12,20,3
2013-08-09,4,203.375,10,21,3
2013-08-10,7,193.625,12,61,7
2013-08-11,7,163.875,9,61,7
2013-08-12,7,16.45,11,63,7
2013-08-13,3,16. Apr,16,95,10
2013-08-14,4,182.625,18,61,7
2013-08-15,3,19. Aug,8,,
2013-08-16,4,23.575,11,0,1
2013-08-17,6,20.55,7,0,1
2013-08-18,7,185.875,10,63,7
2013-08-19,5,184.875,8,,
2013-08-20,7,17.775,8,61,7
2013-08-21,5,20.125,8,,
2013-08-22,4,216.625,8,,
2013-08-23,1,220.375,14,,
2013-08-24,0,20.85,16,5,1
2013-08-25,0,213.875,16,5,1
2013-08-26,0,20.125,15,5,1
2013-08-27,1,210.875,12,,
2013-08-28,0,21. Mar,7,,
2013-08-29,3,202.125,11,,
2013-08-30,6,197.875,8,5,1
2013-08-31,5,18.35,16,21,3
2013-09-01,7,158.625,16,61,7
2013-09-02,7,16.575,17,63,7
2013-09-03,7,18.225,11,21,3
2013-09-04,7,18.125,5,,
2013-09-05,0,21. Jul,8,,
2013-09-06,0,24. Jul,9,,
2013-09-07,6,227.625,7,,
2013-09-08,7,201.625,8,61,7
2013-09-09,8,11.575,11,63,7
2013-09-10,6,135.875,11,65,7
2013-09-11,6,13. Sep,8,61,7
2013-09-12,6,161.125,6,61,7
2013-09-13,6,174.375,5,21,3
2013-09-14,5,17.625,10,63,7
2013-09-15,7,148.625,10,21,3
2013-09-16,3,131.375,13,21,3
2013-09-17,5,131.375,10,63,7
2013-09-18,4,13. May,9,,
2013-09-19,5,148.375,11,63,7
2013-09-20,7,13.525,6,,
2013-09-21,7,15.35,9,,
2013-09-22,6,171.375,14,21,3
2013-09-23,7,173.125,14,21,3
2013-09-24,8,157.375,10,,
2013-09-25,6,135.375,7,61,7
2013-09-26,1,129.875,12,,
2013-09-27,5,130.125,8,21,3
2013-09-28,0,13. Jan,8,,
2013-09-29,3,14.175,12,,
2013-09-30,1,12.825,14,,
2013-10-01,0,129.125,13,5,1
2013-10-02,1,12. Jul,10,,
2013-10-03,0,117.625,12,5,1
2013-10-04,5,11. Feb,8,63,7
2013-10-05,7,15.575,8,20,3
2013-10-06,7,15.25,6,,
2013-10-07,1,16.275,7,,
2013-10-08,6,151.125,8,61,7
2013-10-09,7,143.125,10,21,3
2013-10-10,5,10.975,6,,
2013-10-11,7,138.625,20,10,2
2013-10-12,8,13.025,21,63,7
2013-10-13,5,108.625,5,,
2013-10-14,2,12.525,6,,
2013-10-15,7,106.625,4,63,7
2013-10-16,8,12.275,7,,
2013-10-17,7,12,15,65,7
2013-10-18,1,9.075,9,,
2013-10-19,7,Sep 45,9,,
2013-10-20,7,151.875,8,21,3
2013-10-21,7,142.625,8,61,7
2013-10-22,2,176.375,7,,
2013-10-23,6,17.675,9,,
2013-10-24,5,126.875,12,61,7
2013-10-25,7,118.875,7,61,7
2013-10-26,5,16.775,10,21,3
2013-10-27,6,149.875,16,65,7
2013-10-28,7,143.625,29,63,7
2013-10-29,7,10.775,17,63,7
2013-10-30,6,104.375,10,61,7
2013-10-31,5,111.625,13,21,3
2013-11-01,8,10.625,9,63,7
2013-11-02,8,88.875,3,63,7
2013-11-03,6,10. Jul,15,21,3
2013-11-04,7,68.375,7,63,7
2013-11-05,4,08. Sep,12,61,7
2013-11-06,4,81.375,12,63,7
2013-11-07,6,09. May,10,61,7
2013-11-08,3,9.325,9,,
2013-11-09,5,07. Jul,16,63,7
2013-11-10,2,69.875,12,63,7
2013-11-11,2,83.125,5,,
2013-11-12,7,59.375,9,61,7
2013-11-13,1,08. Aug,12,0,1
2013-11-14,5,69.375,9,21,3
2013-11-15,7,Jun 45,6,21,3
2013-11-16,8,8.875,12,,
2013-11-17,2,88.875,8,0,1
2013-11-18,7,Jun 65,5,63,7
2013-11-19,8,58.375,8,61,7
2013-11-20,6,Mar 85,6,,
2013-11-21,2,3.275,8,10,2
2013-11-22,7,5.375,10,21,3
2013-11-23,3,49.125,6,,
2013-11-24,0,04. Jun,16,,
2013-11-25,0,03. Jul,10,,
2013-11-26,2,23.125,6,,
2013-11-27,8,73.125,12,61,7
2013-11-28,2,8.025,18,,
2013-11-29,8,59.875,11,63,7
2013-11-30,7,5.525,10,20,3
2013-12-01,5,86.625,20,61,7
2013-12-02,0,30.625,4,10,2
2013-12-03,8,17.125,6,28,3
2013-12-04,7,May 85,11,63,7
2013-12-05,7,44.625,24,63,7
2013-12-06,6,17.875,25,73,8
2013-12-07,5,1,11,22,3
2013-12-08,8,6.975,16,63,7
2013-12-09,7,92.375,10,45,5
2013-12-10,7,71.875,8,61,7
2013-12-11,7,5.025,9,10,2
2013-12-12,8,2.525,8,28,3
2013-12-13,7,35.375,6,61,7
2013-12-14,7,30.125,7,61,7
2013-12-15,8,7.925,12,61,7
2013-12-16,8,8.775,12,,
2013-12-17,8,Apr 95,8,61,7
2013-12-18,7,Jun 85,8,10,2
2013-12-19,7,07. Apr,10,63,7
2013-12-20,7,52.875,10,61,7
2013-12-21,8,65.625,13,63,7
2013-12-22,7,81.375,12,61,7
2013-12-23,3,54.875,10,,
2013-12-24,7,114.375,18,61,7
2013-12-25,6,85.625,13,21,3
2013-12-26,6,3.775,6,28,3
2013-12-27,7,57.625,15,63,7
2013-12-28,7,70.625,9,21,3
2013-12-29,7,57.125,9,63,7
2013-12-30,4,Apr 75,11,10,2
2013-12-31,4,50.375,7,,
2014-01-01,5,45.125,8,63,7
2014-01-02,7,Jun 25,9,63,7
2014-01-03,7,68.375,10,63,7
2014-01-04,5,69.375,11,,
2014-01-05,7,61.875,11,63,7
2014-01-06,7,79.125,11,65,7
2014-01-07,7,104.375,13,,
2014-01-08,7,86.375,15,63,7
2014-01-09,7,96.125,16,61,7
2014-01-10,7,66.375,17,61,7
2014-01-11,7,55.875,18,63,7
2014-01-12,2,5.525,16,21,3
2014-01-13,8,31.375,10,69,7
2014-01-14,6,4.225,6,28,3
2014-01-15,7,3.228.571,7,28,3
2014-01-16,8,27.375,9,63,7
2014-01-17,7,67.375,4,61,7
2014-01-18,7,58.875,8,61,7
2014-01-19,7,28.625,19,10,2
2014-01-20,8,0.3875,13,61,7
2014-01-21,7,-0.65,7,77,8
2014-01-22,8,-31.125,14,22,3
2014-01-23,8,-31.875,11,22,3
2014-01-24,2,-51.625,13,10,2
2014-01-25,5,-70.375,8,,
2014-01-26,1,-8.475,10,10,2
2014-01-27,5,0.7,9,69,7
2014-01-28,7,-0.2625,10,10,2
2014-01-29,7,-5.05,13,77,8
2014-01-30,7,-44.875,8,77,8
2014-01-31,8,-36.875,7,10,2
2014-02-01,7,3.225,10,63,7
2014-02-02,0,54.875,8,,
2014-02-03,1,3.475,8,10,2
2014-02-04,5,3.925,6,10,2
2014-02-05,4,3.675,8,10,2
2014-02-06,7,7.875,11,20,3
2014-02-07,7,8.475,15,63,7
2014-02-08,7,62.875,12,61,7
2014-02-09,5,67.125,15,63,7
2014-02-10,2,66.375,9,,
2014-02-11,7,4.925,12,61,7
2014-02-12,4,06. Jan,13,10,2
2014-02-13,5,Jul 45,13,,
2014-02-14,5,52.125,9,10,2
2014-02-15,5,11. May,15,,
2014-02-16,7,60.625,17,63,7
2014-02-17,0,66.875,9,,
2014-02-18,7,07. Aug,8,10,2
2014-02-19,7,6.325,8,61,7
2014-02-20,6,09. Jan,11,10,2
2014-02-21,7,75.125,11,61,7
2014-02-22,7,5.925,11,21,3
2014-02-23,1,8.625,12,,
2014-02-24,1,94.125,11,,
2014-02-25,1,10.475,7,,
2014-02-26,5,101.875,8,,
2014-02-27,1,88.875,7,10,2
2014-02-28,7,61.875,6,61,7
2014-03-01,2,5.075,9,10,2
2014-03-02,6,65.625,9,10,2
2014-03-03,0,91.875,10,5,1
2014-03-04,7,66.875,7,10,2
