Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Wettercodekategorie
2014-03-05,7,46.875,7,28,3
2014-03-06,3,8.925,9,10,2
2014-03-07,6,11.275,10,5,1
2014-03-08,0,99.375,6,,
2014-03-09,0,16. Apr,9,,
2014-03-10,0,15. Aug,9,,
2014-03-11,0,Jul 85,9,,
2014-03-12,0,102.125,8,0,1
2014-03-13,0,13.375,10,,
2014-03-14,1,96.125,10,,
2014-03-15,4,90.375,27,,
2014-03-16,7,93.375,24,61,7
2014-03-17,7,95.875,18,61,7
2014-03-18,7,96.875,16,21,3
2014-03-19,7,Sep 45,18,61,7
2014-03-20,0,162.625,13,,
2014-03-21,7,68.875,14,63,7
2014-03-22,5,Aug 85,11,63,7
2014-03-23,4,83.625,10,,
2014-03-24,3,75.625,7,,
2014-03-25,2,7.725,10,21,3
2014-03-26,5,Jul 85,11,21,3
2014-03-27,6,05. Jan,12,,
2014-03-28,8,05. Apr,12,10,2
2014-03-29,3,9.375,8,10,2
2014-03-30,0,112.625,8,28,3
2014-03-31,7,74.375,4,45,5
2014-04-01,8,57.625,13,10,2
2014-04-02,2,Dec 45,8,10,2
2014-04-03,3,76.125,15,10,2
2014-04-04,6,Jun 45,15,0,1
2014-04-05,8,9.825,5,61,7
2014-04-06,7,121.875,8,63,7
2014-04-07,7,157.875,10,63,7
2014-04-08,7,98.125,19,61,7
2014-04-09,7,101.875,20,21,3
2014-04-10,7,Sep 75,4,,
2014-04-11,6,120.625,10,,
2014-04-12,4,11. Feb,12,0,1
2014-04-13,6,110.125,21,,
2014-04-14,5,08. Sep,23,61,7
2014-04-15,0,99.125,15,,
2014-04-16,0,113.625,9,,
2014-04-17,5,14. Apr,14,,
2014-04-18,7,82.375,11,61,7
2014-04-19,1,11.125,13,5,1
2014-04-20,0,13.875,15,5,1
2014-04-21,4,13.425,15,0,1
2014-04-22,3,15.45,10,10,2
2014-04-23,8,9.825,11,21,3
2014-04-24,8,9.175,11,,
2014-04-25,0,135.625,12,,
2014-04-26,0,15.45,11,,
2014-04-27,0,16.225,16,,
2014-04-28,0,158.875,11,,
2014-04-29,0,180.875,8,0,1
2014-04-30,3,18,8,,
2014-05-01,4,104.875,14,,
2014-05-02,6,10.225,13,,
2014-05-03,3,118.625,13,,
2014-05-04,7,09. Jun,11,,
2014-05-05,8,107.125,6,21,3
2014-05-06,7,15.775,9,,
2014-05-07,4,142.125,15,65,7
2014-05-08,7,Dec 45,10,63,7
2014-05-09,6,123.875,10,61,7
2014-05-10,7,13.275,12,61,7
2014-05-11,7,115.625,12,63,7
2014-05-12,7,12. Jul,14,63,7
2014-05-13,7,115.625,15,21,3
2014-05-14,7,115.625,16,,
2014-05-15,2,137.875,8,,
2014-05-16,5,138.875,9,,
2014-05-17,0,16.625,8,0,1
2014-05-18,4,165.125,13,,
2014-05-19,6,137.625,8,61,7
2014-05-20,0,20.725,12,,
2014-05-21,2,268.625,8,,
2014-05-22,0,26.375,8,,
2014-05-23,7,180.125,12,65,7
2014-05-24,2,179.625,8,,
2014-05-25,2,204.625,11,,
2014-05-26,0,199.625,13,,
2014-05-27,7,128.875,21,21,3
2014-05-28,7,10. Feb,22,21,3
2014-05-29,4,12. Jul,14,,
2014-05-30,0,179.625,13,,
2014-05-31,3,159.125,15,,
2014-06-01,7,13.825,6,21,3
2014-06-02,0,17.625,9,,
2014-06-03,1,20,9,,
2014-06-04,1,214.875,14,,
2014-06-05,5,150.375,18,65,7
2014-06-06,3,193.125,12,,
2014-06-07,0,179.625,8,,
2014-06-08,6,22. Jan,12,21,3
2014-06-09,0,206.625,10,,
2014-06-10,1,257.875,9,,
2014-06-11,7,20. May,8,61,7
2014-06-12,4,19.55,12,,
2014-06-13,7,17.45,18,21,3
2014-06-14,1,189.125,13,,
2014-06-15,0,19.275,8,,
2014-06-16,6,183.125,10,0,1
2014-06-17,1,20.375,7,,
2014-06-18,3,19. Mar,13,,
2014-06-19,7,152.875,19,21,3
2014-06-20,7,159.875,16,,
2014-06-21,6,155.125,18,61,7
2014-06-22,5,15. Jul,19,,
2014-06-23,4,16. May,17,,
2014-06-24,7,143.625,7,21,3
2014-06-25,0,184.375,10,,
2014-06-26,6,17.575,8,63,7
2014-06-27,4,201.625,7,95,10
2014-06-28,6,169.625,6,95,10
2014-06-29,7,173.125,8,61,7
2014-06-30,3,183.375,12,,
2014-07-01,6,156.875,14,61,7
2014-07-02,6,171.125,15,,
2014-07-03,7,20. Apr,9,,
2014-07-04,0,269.375,10,,
2014-07-05,6,245.875,10,65,7
2014-07-06,5,252.375,6,,
2014-07-07,5,20. Aug,10,,
2014-07-08,7,19. Jun,15,63,7
2014-07-09,0,24.65,24,5,1
2014-07-10,0,24.757.142,18,0,1
2014-07-11,1,229.375,18,,
2014-07-12,0,20.375,12,,
2014-07-13,7,18. Jun,10,61,7
2014-07-14,7,19.45,15,63,7
2014-07-15,6,222.625,9,,
2014-07-16,6,194.125,7,,
2014-07-17,4,227.625,7,,
2014-07-18,1,26. May,10,,
2014-07-19,0,280.625,13,,
2014-07-20,3,243.125,15,,
2014-07-21,0,234.875,19,5,1
2014-07-22,0,249.875,14,,
2014-07-23,0,25,14,,
2014-07-24,0,248.375,11,,
2014-07-25,0,26.325,18,,
2014-07-26,6,22.375,10,21,3
2014-07-27,3,25.55,12,21,3
2014-07-28,0,247.625,7,,
2014-07-29,0,25.35,10,,
2014-07-30,6,22.925,12,,
2014-07-31,3,224.375,12,21,3
2014-08-01,1,26.725,8,,
2014-08-02,2,260.875,12,,
2014-08-03,5,230.875,9,63,7
2014-08-04,6,225.125,8,,
2014-08-05,5,230.875,10,,
2014-08-06,0,22.825,10,,
2014-08-07,7,203.125,6,61,7
2014-08-08,3,22.725,8,,
2014-08-09,6,20. Jan,17,61,7
2014-08-10,6,23. Jan,12,,
2014-08-11,4,20.075,13,21,3
2014-08-12,5,169.125,12,95,10
2014-08-13,2,209.375,10,,
2014-08-14,7,18. May,10,65,7
2014-08-15,6,183.625,8,61,7
2014-08-16,6,17. Feb,15,61,7
2014-08-17,7,15.65,13,61,7
2014-08-18,6,15. Feb,15,61,7
2014-08-19,6,140.875,12,61,7
2014-08-20,5,15.675,17,21,3
2014-08-21,5,162.625,11,21,3
2014-08-22,7,16.325,12,61,7
2014-08-23,4,159.875,11,21,3
2014-08-24,3,163.125,20,21,3
2014-08-25,5,147.875,13,65,7
2014-08-26,3,17.325,7,,
2014-08-27,1,19.875,9,,
2014-08-28,0,19.75,9,0,1
2014-08-29,5,19.125,12,63,7
2014-08-30,7,17.75,9,61,7
2014-08-31,7,16.375,8,21,3
2014-09-01,7,17.875,12,61,7
2014-09-02,2,18.375,13,,
2014-09-03,2,18.75,13,,
2014-09-04,0,20,15,,
2014-09-05,2,21.375,10,,
2014-09-06,2,24,5,,
2014-09-07,5,20,6,21,3
2014-09-08,4,17.375,12,21,3
2014-09-09,6,17.125,16,63,7
2014-09-10,2,18.625,12,,
2014-09-11,4,17.375,13,,
2014-09-12,1,18.25,11,,
2014-09-13,7,17,12,,
2014-09-14,7,17.625,14,61,7
2014-09-15,2,19.75,13,,
2014-09-16,0,20.125,13,,
2014-09-17,1,19.875,18,,
2014-09-18,0,20. May,13,,
2014-09-19,0,20.75,9,5,1
2014-09-20,3,19.375,7,10,2
2014-09-21,4,17,15,21,3
2014-09-22,6,13,17,21,3
2014-09-23,4,14.75,6,,
2014-09-24,7,15.375,10,63,7
2014-09-25,7,14. May,17,61,7
2014-09-26,7,16.75,13,61,7
2014-09-27,2,16.375,14,,
2014-09-28,4,18. May,7,,
2014-09-29,6,18.125,6,,
2014-09-30,7,16. May,5,61,7
2014-10-01,6,17.75,6,10,2
2014-10-02,6,18,6,,
2014-10-03,3,20,6,10,2
2014-10-04,0,18. May,8,5,1
2014-10-05,1,16.25,7,,
2014-10-06,2,15.75,15,10,2
2014-10-07,7,13,10,65,7
2014-10-08,6,14.125,10,61,7
2014-10-09,5,17.875,10,,
2014-10-10,4,16.375,10,,
2014-10-11,3,17,5,,
2014-10-12,5,15.125,7,20,3
2014-10-13,7,12.625,12,63,7
2014-10-14,6,14,5,61,7
2014-10-15,7,13.875,6,21,3
2014-10-16,7,13. May,6,61,7
2014-10-17,7,14.375,10,65,7
2014-10-18,7,15.25,7,21,3
2014-10-19,7,17.375,13,95,10
2014-10-20,6,14.625,18,61,7
2014-10-21,7,12. May,9,63,7
2014-10-22,6,13,12,0,1
2014-10-23,6,13.125,7,0,1
2014-10-24,7,13. May,9,,
2014-10-25,7,12.125,7,61,7
2014-10-26,5,Dec 75,9,0,1
2014-10-27,2,14. May,9,,
2014-10-28,0,13.875,8,,
2014-10-29,7,8.375,7,20,3
2014-10-30,2,10.625,5,10,2
2014-10-31,8,12.875,5,10,2
2014-11-01,2,16. May,8,0,1
2014-11-02,3,15.375,10,21,3
2014-11-03,4,13.75,12,0,1
2014-11-04,7,11.625,8,61,7
2014-11-05,7,09. May,11,61,7
2014-11-06,5,8.875,10,0,1
2014-11-07,0,8.625,9,10,2
2014-11-08,6,Oct 25,8,,
2014-11-09,3,10.625,8,,
2014-11-10,6,Aug 75,7,61,7
2014-11-11,2,8.625,7,10,2
2014-11-12,7,Sep 75,10,10,2
2014-11-13,7,Oct 75,4,28,3
2014-11-14,7,Oct 75,10,10,2
2014-11-15,8,Sep 25,14,10,2
2014-11-16,7,8,14,61,7
2014-11-17,7,9.625,7,10,2
2014-11-18,7,8.875,13,61,7
2014-11-19,7,08. May,11,61,7
2014-11-20,5,6.125,7,0,1
2014-11-21,6,06. May,5,61,7
2014-11-22,7,May 75,9,61,7
2014-11-23,6,Jun 75,7,21,3
2014-11-24,3,9.375,10,0,1
2014-11-25,0,6.875,4,0,1
2014-11-26,3,5.625,8,,
2014-11-27,0,04. May,10,10,2
2014-11-28,6,1.625,16,10,2
2014-11-29,8,1,10,5,1
2014-11-30,8,0,11,10,2
2014-12-01,7,-2,13,10,2
2014-12-02,8,-3,7,10,2
2014-12-03,7,0.625,10,10,2
2014-12-04,8,Mar 75,9,61,7
2014-12-05,7,2,7,61,7
2014-12-06,2,May 75,7,10,2
2014-12-07,7,4.875,12,61,7
2014-12-08,7,Mar 25,8,61,7
2014-12-09,8,2.125,9,45,5
2014-12-10,5,4.875,13,61,7
2014-12-11,7,4,12,95,10
2014-12-12,7,Jul 25,18,61,7
2014-12-13,5,Apr 75,10,61,7
2014-12-14,4,03. May,9,10,2
2014-12-15,7,Apr 75,11,61,7
2014-12-16,8,4.625,12,61,7
2014-12-17,7,3.625,10,61,7
2014-12-18,7,10,11,61,7
2014-12-19,5,8.125,15,61,7
2014-12-20,6,5.375,24,21,3
2014-12-21,6,6.625,14,21,3
2014-12-22,7,Sep 75,21,63,7
2014-12-23,7,9.125,19,61,7
2014-12-24,5,Jul 75,21,61,7
2014-12-25,7,3.125,17,71,8
2014-12-26,6,0,6,22,3
2014-12-27,3,-0.25,8,,
2014-12-28,1,-0.5,7,0,1
2014-12-29,5,0.75,10,0,1
2014-12-30,7,May 25,9,21,3
2014-12-31,6,7.375,11,61,7
2015-01-01,8,4.125,13,10,2
2015-01-02,6,Jul 75,24,61,7
2015-01-03,7,4.875,25,69,7
2015-01-04,0,Apr 75,15,,
2015-01-05,8,5.875,8,20,3
2015-01-06,8,3.625,8,10,2
2015-01-07,6,May 75,10,61,7
2015-01-08,8,6.375,9,61,7
2015-01-09,6,07. May,25,63,7
2015-01-10,6,10,28,61,7
2015-01-11,5,Apr 25,23,61,7
2015-01-12,7,07. May,19,61,7
2015-01-13,7,Jul 75,14,61,7
2015-01-14,6,3.125,16,71,8
2015-01-15,7,Jun 75,14,61,7
2015-01-16,6,Jun 75,13,0,1
2015-01-17,1,Apr 25,12,21,3
2015-01-18,8,2,9,61,7
2015-01-19,7,1,5,71,8
2015-01-20,7,-0.375,4,77,8
2015-01-21,8,-1.125,4,10,2
2015-01-22,7,-1.375,3,49,5
2015-01-23,8,-1.25,5,20,3
2015-01-24,7,-0.5,10,71,8
2015-01-25,6,2.875,6,,
2015-01-26,7,3.375,10,61,7
2015-01-27,2,4.875,13,,
2015-01-28,7,4.875,17,61,7
2015-01-29,7,01. May,12,75,8
2015-01-30,7,1.125,6,,
2015-01-31,7,-2.375,7,49,5
2015-02-01,7,-0.25,9,75,8
2015-02-02,6,1,10,22,3
2015-02-03,7,-1,10,77,8
2015-02-04,6,-1.875,9,0,1
2015-02-05,5,0.75,10,22,3
2015-02-06,2,-0.5,6,22,3
2015-02-07,7,4.125,18,20,3
2015-02-08,1,3.375,14,,
2015-02-09,7,6.875,13,61,7
2015-02-10,7,7.625,11,,
2015-02-11,8,4,5,,
2015-02-12,8,2,4,10,2
2015-02-13,8,Jan 25,6,10,2
2015-02-14,7,1.625,9,28,3
2015-02-15,7,3.125,16,10,2
2015-02-16,8,2,9,10,2
2015-02-17,6,1.125,7,45,5
2015-02-18,3,05. May,12,10,2
2015-02-19,0,Jun 25,13,5,1
2015-02-20,8,3.875,11,71,8
2015-02-21,7,3.875,16,61,7
2015-02-22,5,May 25,13,0,1
2015-02-23,7,04. May,12,61,7
2015-02-24,7,5.625,12,61,7
2015-02-25,5,5.875,10,,
2015-02-26,5,6.625,10,0,1
2015-02-27,7,04. May,9,61,7
2015-02-28,3,5.625,10,0,1
2015-03-01,7,Jun 75,15,61,7
2015-03-02,6,5.125,23,61,7
2015-03-03,6,5,14,61,7
2015-03-04,6,5,18,61,7
2015-03-05,7,6.625,14,,
2015-03-06,7,8.125,12,20,3
2015-03-07,7,10.125,13,0,1
2015-03-08,0,14,12,,
2015-03-09,4,8.375,6,,
2015-03-10,3,09. May,13,10,2
2015-03-11,0,9.125,12,,
2015-03-12,0,7.125,10,0,1
2015-03-13,6,4.875,15,,
2015-03-14,7,5.125,15,,
2015-03-15,7,May 75,13,21,3
2015-03-16,2,8.625,13,10,2
2015-03-17,1,Oct 75,11,5,1
2015-03-18,4,10.625,8,,
2015-03-19,0,10.375,9,0,1
2015-03-20,7,5,9,45,5
2015-03-21,7,04. May,21,61,7
2015-03-22,0,4.375,8,,
2015-03-23,0,Jul 75,12,,
2015-03-24,6,7.875,6,0,1
2015-03-25,6,7.875,14,5,1
2015-03-26,7,7.125,9,0,1
2015-03-27,7,7,7,61,7
2015-03-28,7,08. May,10,,
2015-03-29,7,Aug 25,12,61,7
2015-03-30,6,06. May,29,61,7
2015-03-31,7,6.375,35,61,7
2015-04-01,4,5,24,22,3
2015-04-02,6,06. May,19,61,7
2015-04-03,5,7.375,14,,
2015-04-04,0,8.375,11,,
2015-04-05,3,8.625,11,,
2015-04-06,0,Jul 75,10,,
2015-04-07,7,Jul 75,14,61,7
2015-04-08,2,12,11,,
2015-04-09,2,11.875,7,0,1
2015-04-10,1,14.125,8,5,1
2015-04-11,2,16.75,14,61,7
2015-04-12,5,12.375,16,,
2015-04-13,4,8.875,21,61,7
2015-04-14,7,Oct 75,17,61,7
2015-04-15,0,15. May,19,5,1
2015-04-16,6,9.375,16,21,3
2015-04-17,0,10. May,15,,
2015-04-18,0,10.875,8,,
2015-04-19,0,10.125,11,,
2015-04-20,0,14.25,9,,
2015-04-21,0,14.625,17,5,1
2015-04-22,0,12.125,7,,
2015-04-23,1,13.625,12,,
2015-04-24,2,13.875,9,20,3
2015-04-25,7,13.75,8,63,7
2015-04-26,8,7,11,61,7
2015-04-27,4,10.125,11,,
2015-04-28,3,Oct 25,13,,
2015-04-29,5,12.625,12,,
2015-04-30,6,11.375,10,61,7
2015-05-01,6,10,6,21,3
2015-05-02,3,11,12,0,1
2015-05-03,1,14.75,12,61,7
2015-05-04,5,15.875,13,21,3
2015-05-05,4,20,15,95,10
2015-05-06,3,17.125,11,21,3
2015-05-07,6,12,16,21,3
2015-05-08,2,11. May,11,,
2015-05-09,7,13. May,14,61,7
2015-05-10,2,Dec 75,18,0,1
2015-05-11,0,19.75,11,,
2015-05-12,7,14.625,14,63,7
2015-05-13,7,11.875,16,21,3
2015-05-14,7,Nov 25,10,20,3
2015-05-15,6,13. May,9,,
2015-05-16,7,10. May,11,61,7
2015-05-17,3,12.625,17,21,3
2015-05-18,6,11.625,8,61,7
2015-05-19,6,10.125,11,63,7
2015-05-20,5,Dec 25,9,63,7
2015-05-21,6,12.625,10,61,7
2015-05-22,4,17,12,,
2015-05-23,5,13.375,8,0,1
2015-05-24,2,14.375,8,,
2015-05-25,7,Nov 75,10,61,7
2015-05-26,6,13,14,21,3
2015-05-27,7,12.625,13,61,7
2015-05-28,6,13.125,12,63,7
2015-05-29,6,14.625,8,61,7
2015-05-30,4,11.625,15,61,7
2015-05-31,7,14. May,10,61,7
2015-06-01,5,14.25,16,,
2015-06-02,7,14.25,14,61,7
2015-06-03,6,15.25,18,21,3
2015-06-04,0,16.375,9,0,1
2015-06-05,0,22.625,9,,
2015-06-06,3,18. May,19,10,2
2015-06-07,4,16.625,15,,
2015-06-08,6,14.375,12,,
2015-06-09,3,15.25,8,,
2015-06-10,0,18,7,,
2015-06-11,1,16,10,,
2015-06-12,0,20.25,10,,
2015-06-13,6,21.875,12,61,7
2015-06-14,7,14.375,12,,
2015-06-15,8,13.625,11,21,3
2015-06-16,7,13.625,14,,
2015-06-17,7,16. May,9,61,7
2015-06-18,7,13.25,13,61,7
2015-06-19,7,14.25,14,61,7
2015-06-20,5,17.125,13,,
2015-06-21,6,15.75,6,,
2015-06-22,5,13. May,8,61,7
2015-06-23,5,16. May,10,21,3
2015-06-24,8,12.625,14,61,7
2015-06-25,6,17.125,8,21,3
2015-06-26,7,19.25,5,61,7
2015-06-27,7,19.375,16,61,7
2015-06-28,2,19.875,10,,
2015-06-29,3,21. May,12,,
2015-06-30,3,20.25,9,,
2015-07-01,0,23.125,13,,
2015-07-02,0,27.375,12,,
2015-07-03,1,25.625,10,,
2015-07-04,0,26. May,10,,
2015-07-05,4,25.25,9,21,3
2015-07-06,3,19.875,16,,
2015-07-07,4,24.75,9,61,7
2015-07-08,6,16.625,16,63,7
2015-07-09,6,14.375,24,61,7
2015-07-10,3,16.125,18,21,3
2015-07-11,6,17.75,9,21,3
2015-07-12,7,19.25,12,61,7
2015-07-13,6,19.375,11,,
2015-07-14,3,19.625,9,0,1
2015-07-15,3,20.125,14,,
2015-07-16,4,18.75,7,,
2015-07-17,4,23.25,12,21,3
2015-07-18,2,20.875,16,,
2015-07-19,7,14. May,5,63,7
2015-07-20,6,18.375,12,20,3
2015-07-21,3,21.375,16,0,1
2015-07-22,2,23.75,12,0,1
2015-07-23,5,18.375,12,61,7
2015-07-24,7,19.375,10,,
2015-07-25,6,20,10,95,10
2015-07-26,5,16.75,19,61,7
2015-07-27,7,15.875,8,61,7
2015-07-28,7,17.375,15,63,7
2015-07-29,5,14.875,12,61,7
2015-07-30,7,14,16,61,7
2015-07-31,7,15.875,15,,
2015-08-01,0,17.625,12,,
2015-08-02,0,21. May,8,,
2015-08-03,0,26,7,,
2015-08-04,2,26. May,15,61,7
2015-08-05,2,21.75,8,21,3
2015-08-06,1,27.625,6,,
2015-08-07,4,20,9,63,7
2015-08-08,6,19.125,10,,
2015-08-09,0,21,10,,
2015-08-10,3,22. May,8,21,3
2015-08-11,4,22.125,7,,
2015-08-12,5,19.125,9,21,3
2015-08-13,0,20.75,13,0,1
2015-08-14,4,24,14,,
2015-08-15,7,20.875,8,61,7
2015-08-16,6,21. May,10,0,1
2015-08-17,7,19.375,14,61,7
2015-08-18,7,19.25,13,21,3
2015-08-19,3,19.625,8,5,1
2015-08-20,1,20.375,8,10,2
2015-08-21,1,22.875,7,0,1
2015-08-22,0,23. May,12,,
2015-08-23,0,21.625,18,0,1
2015-08-24,6,20.75,8,,
2015-08-25,6,17.75,12,21,3
2015-08-26,5,22.125,9,,
2015-08-27,6,18.125,12,61,7
2015-08-28,2,19.625,11,20,3
2015-08-29,4,20.125,6,,
2015-08-30,5,19.375,10,21,3
2015-08-31,3,21.875,8,65,7
2015-09-01,8,17.625,12,61,7
2015-09-02,5,17,13,21,3
2015-09-03,3,17.75,8,,
2015-09-04,7,15.625,10,61,7
2015-09-05,5,14.125,20,61,7
2015-09-06,5,17,18,,
2015-09-07,0,17.25,12,,
2015-09-08,2,17. May,9,0,1
2015-09-09,1,16.875,10,,
2015-09-10,1,17.625,14,,
2015-09-11,7,15,12,61,7
2015-09-12,5,18. May,8,,
2015-09-13,6,18. May,5,20,3
2015-09-14,7,17.625,6,63,7
2015-09-15,4,13.875,10,95,10
2015-09-16,7,15.25,6,61,7
2015-09-17,6,18,12,61,7
2015-09-18,5,17.25,10,0,1
2015-09-19,7,15.25,7,61,7
2015-09-20,3,15.625,15,21,3
2015-09-21,7,13.375,6,61,7
2015-09-22,7,14.25,7,61,7
2015-09-23,7,14,5,20,3
2015-09-24,3,16,11,0,1
2015-09-25,4,14.875,8,61,7
2015-09-26,4,15.25,7,21,3
2015-09-27,1,15.25,8,,
2015-09-28,2,14.625,7,0,1
2015-09-29,2,15.625,9,0,1
2015-09-30,0,15.375,6,0,1
2015-10-01,1,14.75,9,0,1
2015-10-02,2,15.375,7,10,2
2015-10-03,2,14.375,9,0,1
2015-10-04,6,15.625,7,45,5
2015-10-05,0,16. May,5,10,2
2015-10-06,7,14.875,14,10,2
2015-10-07,8,13,7,63,7
2015-10-08,7,11.875,5,10,2
2015-10-09,7,11.125,7,21,3
2015-10-10,1,Sep 75,14,0,1
2015-10-11,0,Oct 25,13,5,1
2015-10-12,0,8.625,12,5,1
2015-10-13,7,Jul 75,10,61,7
2015-10-14,7,9,11,61,7
2015-10-15,7,10.375,16,61,7
2015-10-16,7,10,14,61,7
2015-10-17,7,Oct 75,9,61,7
2015-10-18,8,11.125,10,61,7
2015-10-19,6,Sep 25,7,0,1
2015-10-20,7,Oct 25,8,20,3
2015-10-21,7,Nov 25,7,,
2015-10-22,7,Dec 25,10,61,7
2015-10-23,1,13.375,15,,
2015-10-24,8,12.375,6,,
2015-10-25,2,Dec 25,15,,
2015-10-26,0,11.375,6,0,1
2015-10-27,0,Oct 75,10,,
2015-10-28,1,Nov 25,10,5,1
2015-10-29,2,10. May,4,10,2
2015-10-30,7,11.375,5,10,2
2015-10-31,1,Nov 75,9,10,2
2015-11-01,4,Oct 75,6,10,2
2015-11-02,8,Sep 75,5,10,2
2015-11-03,7,5.125,4,45,5
2015-11-04,1,8,4,10,2
2015-11-05,6,13.375,5,61,7
2015-11-06,8,13.75,6,61,7
2015-11-07,7,14.625,9,61,7
2015-11-08,1,13,12,,
2015-11-09,5,12,15,21,3
2015-11-10,7,15,18,61,7
2015-11-11,8,13.625,12,61,7
2015-11-12,2,13.125,17,0,1
2015-11-13,4,Nov 75,19,21,3
2015-11-14,4,8.125,14,21,3
2015-11-15,7,08. May,4,61,7
2015-11-16,7,Dec 25,12,53,6
2015-11-17,7,Oct 75,8,21,3
2015-11-18,6,Oct 75,19,21,3
2015-11-19,7,10.125,20,61,7
2015-11-20,7,Jul 75,9,61,7
2015-11-21,7,04. May,15,63,7
2015-11-22,7,Feb 25,18,73,8
2015-11-23,4,3.125,8,,
2015-11-24,7,3.125,14,61,7
2015-11-25,7,5.125,7,61,7
2015-11-26,0,05. May,7,,
2015-11-27,7,May 25,11,,
2015-11-28,2,6.125,11,61,7
2015-11-29,7,Aug 25,15,63,7
2015-11-30,5,May 75,18,61,7
2015-12-01,6,Jun 75,10,21,3
2015-12-02,7,10. May,9,21,3
2015-12-03,8,9.125,8,61,7
2015-12-04,6,Sep 25,17,61,7
2015-12-05,6,9,14,61,7
2015-12-06,7,10.875,19,20,3
2015-12-07,6,Aug 25,3,,
2015-12-08,0,Oct 75,8,0,1
2015-12-09,3,Aug 75,12,21,3
2015-12-10,7,6.625,13,21,3
2015-12-11,5,6.125,11,63,7
2015-12-12,3,6.875,10,61,7
2015-12-13,1,May 25,9,,
2015-12-14,7,3.625,6,21,3
2015-12-15,7,05. May,8,61,7
2015-12-16,8,Jun 25,7,10,2
2015-12-17,7,11.875,9,53,6
2015-12-18,8,10.375,15,61,7
2015-12-19,6,11.375,10,0,1
2015-12-20,5,12. May,9,,
2015-12-21,7,Oct 25,14,21,3
2015-12-22,7,Nov 25,17,61,7
2015-12-23,6,10.375,20,61,7
2015-12-24,3,8.375,11,61,7
2015-12-25,2,7.875,14,0,1
